title,author,genre,description,category,rating,maturity rating,page count
Malafrena,['Ursula K. Le Guin'],romance,"Transports the reader to a Europe of the Imagination, Orsinia, when Itale Sorde is swept up in the revolutionary storms of his day, renouncing both his inheritance and the love of his life for his dream of revolution and the firey woman who wants him for her own.",['Bildungsromans'],3.5,NOT_MATURE,358
North and South,['Elizabeth Cleghorn Gaskell'],romance,No description,No category,0,Not rated,No data
No Way Out,['Fern Michaels'],romance,"Struggling to remember the accident that left her in a coma and led to her boyfriend's disappearance, video game developer Ellie Bowman starts over in rural Missouri, before an inexplicable reunion threatens everything she has rebuilt.",['Fiction'],3.5,NOT_MATURE,290
If Not for You,['Debbie Macomber'],romance,"Moving away from her oppressive parents in the hopes of taking charge of her own life, Beth takes a job as a school music teacher and initially resists her attraction to a tattooed mechanic who is the epitome of everything her conservative parents fear.",['FICTION'],4,NOT_MATURE,386
Twisted Perfection Signed Limited Edition,['Abbi Glines'],romance,No description,No category,0,Not rated,No data
Nobody's Darling,['Teresa Medeiros'],romance,"Dear Reader, I never enjoyed being a wanted man until the day Miss Esmerelda Fine marched into the Tumbleweed Saloon and pointed her derringer straight at my heart. Who would have guessed some duke's granddaughter--an awfully pretty one at that--would come gunning for the likes of me, a notorious bounty hunter with a taste for whiskey and a fondness for peach pie? Lucky for me, she was a mighty poor shot. Instead of killing me, she hired me to find her runaway brother. Little did she know she was about to make the acquaintance of a flea-bitten basset hound named Sadie, the infamous Darling Gang, and my shotgun-toting kinfolk. And little did I know she was about to lead me on a merry chase that would take us from a bungled bank robbery to the very first Wild West show to tour London, England. I should have turned down her offer. I should have resisted her charms. But I didn't. Because there comes a time in every man's life when he's got nothing left to lose...but his heart. Yours, Billy Darling",['Fiction'],4,NOT_MATURE,398
Spirit Bound,['Richelle Mead'],romance,"The international number 1 bestselling Vampire Academy series by Richelle Mead is now a major motion picture. Read it before it hits cinemas in 2014! SALVATION HAS ITS PRICE . . . Fall in love with Rose and Dimitri all over again in Spirit Bound, the anticipated fifth novel in Richelle Mead's enthralling Vampire Academy series. After a long and heartbreaking journey to Siberia, Dimitri's birthplace, Rose Hathaway has finally returned to St. Vladimir's - and to her best friend, Lissa Dragomir. It's graduation, and the girls can't wait for their real lives outside the Academy's cold iron gates to finally begin. But even with the intrigue and excitement of court life looming, Rose's heart still aches for Dimitri. He's out there, somewhere. She failed to kill him when she had the chance, and now her worst fears are about to come true. Dimitri has tasted her blood, and she knows in her heart that he is hunting her. And if Rose won't join him, he won't rest until he has silenced her . . . forever. But Rose can't forget what she learned on her journey - whispers of a magic too impossible and terrifying to comprehend. A magic inextricably tied to Lissa that could hold the answer to all of Rose's prayers, but not without devastating consequences. Now Rose will have to decide what - and who - matters most to her. And in the end, is true love really worth the price? penguinteenaustralia.com",['Boarding school students'],4.5,NOT_MATURE,489
It Happened One Summer,['Tessa Bailey'],romance,No description,No category,0,Not rated,No data
Maggy's Child,['Karen Robards'],romance,"Maggy, having endured twelve years in an abusive marriage to the much older Lyle Forrest for the sake of her son David, finds her defenses crumbling when Nick, her first love and the father of her child, returns to claim her.",['Domestic fiction'],3,NOT_MATURE,418
Simple Gifts,"['Judith McNaught', 'Jude Deveraux']",romance,4 Heartwarming Christmas Stories.,['Fiction'],3.5,NOT_MATURE,406
All Your Perfects,['Colleen Hoover'],romance,No description,No category,0,Not rated,No data
Highland Beast,"['Hannah Howell', 'Victoria Dahl']",romance,"Forbidden longings and paranormal passions, in three stories set in the Scottish highlands. Witches, vampires and demons face their all-consuming quests-- and their primitive lusts.",['Demonology'],3.5,NOT_MATURE,352
White Hot,['Sandra Brown'],romance,"When her younger brother commits suicide, Sayre Lynch returns to her hometown for the funeral and finds herself drawn into a web cast by her controlling and tyrranical father.",['Brothers'],3.5,NOT_MATURE,696
Anchored Hearts,['Priscilla Oliveras'],romance,"""Sparks fly for a second time when award-winning photographer and prodigal son Alejandro ends up back home, forced to face the familia--and the girl he left behind--for the first time in years. Can these two Key West natives learn to put away old hurts and embrace a new future under the tropical sun?""--",['Fiction'],4,NOT_MATURE,338
Pride and Prejudice,['Jane Austen'],romance,No description,No category,0,Not rated,No data
West Side Story,['Irving Shulman'],romance,"From the silver screen to the Great White Way--one of the greatest stories of all time. They came together through love but violence threatened to tear them apart. Maria was young and innocent and had never known love--until Tony. And he, who had been seeking something beyond the savagery of the streets, discovered it with her. But Maria's brother was leader of the Sharks and Tony had once led the rival Jets. Now both gangs were claiming the same turf. Tony promised Maria that he would stay out of it. Would he be able to keep his word? Or would their newfound love be destroyed by sudden death?",['Fiction'],4,NOT_MATURE,166
The Princess Diaries,['Meg Cabot'],romance,"Just in time for the Disney feature-film release comes the paperback edition of ""The Princess Diaries""--the story of a 14-year-old high school girl who discovers she's the crown princess of a European principality.",['Juvenile Fiction'],3.5,NOT_MATURE,322
Sense and Sensibility,['Jane Austen'],romance,Classics with legible texts you can actually read at a fantastic price.,['Books and reading'],4.5,NOT_MATURE,0
Above and Beyond,['Sandra Brown'],romance,Trevor's love for Kyla--the widow of his best friend--is complicated by a secret that threatens to destroy their fragile relationship,['Fiction'],4,NOT_MATURE,297
Captivated,['Nora Roberts'],romance,His interest in her was purely professional ... or so he told himself.,['Donovan family (Fictitious characters)'],4,NOT_MATURE,312
A Loving Scoundrel,['Johanna Lindsey'],romance,"Danny grew up on the streets of London as a pickpocket, but Jeremy Malory rescues her and hires her as his upstairs maid.",['Criminals'],4,NOT_MATURE,528
Emma,['Jane Austen'],romance,Emma tries to impose her match making ideas on everyone and finds that sometimes she should desist.,['England'],4,NOT_MATURE,422
